"Nazwa firmy","Nazwa skrócona","Ulica, numer",Miasto,"Kod pocztowy","Osoby kontaktowe","Nowe województwo",Powiat,Gmina,"Stare województwo",Telefon(y),Fax(y),"Forma własności","Forma prawna",Email,WWW,Zatrudnienie,"Obrót roczny","Rok założenia","NACE (EKD)",SIC,"Opis działalności"
"Przedsiębiorstwo Produkcyjno-Handlowe SkarPol","PPH SkarPol","Skocka 13",Wągrowiec,62-622,"mgr inż. Jerzy Skarbiński",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2670571 7627307","(67)2670571 7627307",prywatna,"zakład prywatny bez formy prawnej","<a title=""@skarpol.com.pl"">skarpom</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.skarpol.com.pl"">www.skarpol.com.pl</a>",10,,1994,"<span>36.14</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE3614%20produkcja%20do%20sypialni%20lazienek%20pokoi%20goscinnych%20ogrodow%20wykanczanie%20mebli"">Produkcja do sypialni, łazienek, pokoi gościnnych, ogrodów; wykańczanie mebli</a>","<span>2599</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC2599%20meble%20osobno%20nie%20wymienione%20produkcja"">Meble, osobno nie wymienione, produkcja</a>","
meble z litego drewna sosnowego

"
"REMONDIS Sanitech Poznań Sp. z o.o. - Oddział Wągrowiec",,"Skocka 13a",Wągrowiec,62-233,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2620724,(67)2620529,prywatna,"spółka z o.o.","<a title=""@remondis.pl"">wagrowiec</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.remondis.pl"">www.remondis.pl</a>",,,,"
<span>90.01</span>Gromadzenie śmieci i odpadków
<span>90.02.2</span>Wywożenie śmieci
<span>90.05</span>Utrzymanie czystości dróg
<span>37.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE372%20zagospodarowanie%20niemetalowych%20odpadow%20i%20wyrobow%20wybrakowanych"">Zagospodarowanie niemetalowych odpadów i wyrobów wybrakowanych</a>
<span>01.41.4</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE01414%20planowanie%20i%20projektowanie%20krajobrazowe%20zwiazane%20z%20sadzeniem%20roslin%20i%20drzew%20zakladaniem%20i%20utrzymywaniem%20trawnikow%20i%20ogrodow"">Planowanie i projektowanie krajobrazowe związane z sadzeniem roślin i drzew, zakładaniem i utrzymywaniem trawników i ogrodów</a>
<span>74.69</span>Doradztwo w zakresie ochrony przemysłowej
","
<span>4953</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4953%20wywoz%20i%20skladowanie%20odpadkow"">Wywóz i składowanie odpadków</a>
<span>495901</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC495901%20sprzatanie%20ulic%20drog%20lotnisk%20placow"">Sprzątanie ulic, dróg, lotnisk, placów</a>
<span>495903</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC495903%20neutralizacja%20odpadow%20toksycznych%20i%20niebezpiecznych"">Neutralizacja odpadów toksycznych i niebezpiecznych</a>
<span>078299</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC078299%20utrzymanie%20trawnikow%20i%20ogrodow%20przydomowych%20osobno%20nie%20wymienione"">Utrzymanie trawników i ogrodów przydomowych, osobno nie wymienione</a>
<span>738999</span>Usługi dla firm, biur i instytucji, osobno nie wymienione, osobno nie wymienione
","
recykling, gospodarka odpadami
niszczenie dokumentów

"
"Saint-Gobain Dystrybucja Budowlana Sp. z o.o. - Raab Karcher - Oddział Wągrowiec","SGDB Sp. z o.o. - Raab Karcher - Oddział Wągrowiec","Skocka 15",Wągrowiec,62-013,"kier. Jerzy Radunc",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2651551,(67)2854651,zagraniczna,"spółka z o.o.","<a title=""@saint-iobain.com"">jerzy.radwnc</a>","
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.sgdb.pn"">www.sgdb.pn</a>
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.raabmarcher.pl"">www.raabmarcher.pl</a>
",,,,"
<span>51.53.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51532%20sprzedaz%20hurtowa%20niedrewnianych%20materialow%20budowlanych"">Sprzedaż hurtowa niedrewnianych materiałów budowlanych</a>
<span>51.54</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5154%20sprzedaz%20hurtowa%20artykulow%20metalowych%20oraz%20wyposazenia%20hydraulicznego%20i%20grzejnego"">Sprzedaż hurtowa artykułów metalowych oraz wyposażenia hydraulicznego i grzejnego</a>
<span>51.44.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51441%20sprzedaz%20hurtowa%20wyrobow%20porcelanowych%20i%20ceramicznych"">Sprzedaż hurtowa wyrobów porcelanowych i ceramicznych</a>
<span>51.53</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5153%20sprzedaz%20hurtowa%20drewna%20i%20materialow%20budowlanych"">Sprzedaż hurtowa drewna i materiałów budowlanych</a>
<span>51.44.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51443%20sprzedaz%20hurtowa%20farb%20i%20lakierow"">Sprzedaż hurtowa farb i lakierów</a>
","
<span>5032</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5032%20materialy%20budowlane%20murarskie%20hurt"">Materiały budowlane murarskie, hurt</a>
<span>5033</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5033%20pokrycia%20scian%20dachow%20i%20materialy%20izolacyjne%20hurt"">Pokrycia ścian, dachów i materiały izolacyjne, hurt</a>
<span>5074</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5074%20sprzet%20i%20wyposazenie%20hydrauliczne%20i%20c%20o%20%20hurt"">Sprzęt i wyposażenie hydrauliczne i c.o., hurt</a>
<span>5075</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5075%20elektryczny%20sprzet%20grzewczy%20hurt"">Elektryczny sprzęt grzewczy, hurt</a>
<span>503203</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC503203%20ceramika%20budowlana%20dachowka%20hurt"">Ceramika budowlana, dachówka, hurt</a>
<span>521103</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC521103%20materialy%20instalacyjne%20i%20konserwacyjne%20handel%20detaliczny"">Materiały instalacyjne i konserwacyjne, handel detaliczny</a>
<span>5031</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5031%20stolarka%20budowlana%20hurt"">Stolarka budowlana, hurt</a>
<span>5198</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5198%20farby%20lakiery%20i%20artykuly%20pokrewne%20hurt"">Farby, lakiery i artykuły pokrewne, hurt</a>
","
materiały budowlane, instalacyjne
technika sanitarna, grzewcza
ceramika sanitarna
"
"Zakład Komunikacji Miejskiej Sp. z o.o.",,"Skocka 18",Wągrowiec,62-843,"prez. Tadeusz Pawlicki",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2651256,(67)2651256,komunalna,"spółka z o.o.","<a title=""@neostrada.pl"">zaklad.koounikacji.miejskielsp.z</a>",,30,,1996,"
<span>60.21.11</span>Miejskie lub podmiejskie linie autobusowe
<span>60.23.2</span>Wynajem autobusów, transport wycieczek oraz inne okolicznościowe przewozy autobusowe
","
<span>411101</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC411101%20komunikacja%20autobusowa"">Komunikacja autobusowa</a>
<span>4142</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4142%20wynajem%20autobusow%20z%20wyj%20lokalnych"">Wynajem autobusów z wyj. lokalnych</a>
","
komunikacja autobusowa
wynajem autobusów

"
"Międzynarodowy Transport Ciężarowy",,"Skocka 20",Wągrowiec,62-622,"Władysław Gapiński",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2616216 1621321",(67)2616216,prywatna,"zakład prywatny bez formy prawnej",,,4,,1981,"<span>60.24.1</span>Przewożenie samochodami ciężarowymi wszystkich rodzajów towarów","
<span>421299</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC421299%20lokalne%20przewozy%20ciezarowe%20bez%20skladowania%20osobno%20nie%20wymienione"">Lokalne przewozy ciężarowe, bez składowania, osobno nie wymienione</a>
<span>4213</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4213%20przewozy%20ciezarowe%20dalekobiezne"">Przewozy ciężarowe dalekobieżne</a>
",
"Spółdzielnia Pracy Transportowo-Motoryzacyjna",,"Skocka 22",Wągrowiec,62-623,"prez. Alfons Biegański",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2651451-5 2520524",(67)2651452,prywatna,spółdzielnia,,,55,,1950,"
<span>60.24.1</span>Przewożenie samochodami ciężarowymi wszystkich rodzajów towarów
<span>63.11.1</span>Załadunek i rozładunek towarów oraz bagażu pasażerów
<span>52.4</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524%20sprzedaz%20detaliczna%20towarow%20przemyslowych%20prowadzona%20w%20wyspecjalizowanych%20sklepach"">Sprzedaż detaliczna towarów przemysłowych prowadzona w wyspecjalizowanych sklepach</a>
<span>50.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE502%20obsluga%20i%20naprawy%20pojazdow%20mechanicznych"">Obsługa i naprawy pojazdów mechanicznych</a>
<span>52.48.82</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524882%20sprzedaz%20detaliczna%20paliw%20plynnych%20z%20wylaczeniem%20paliw%20samochodowych"">Sprzedaż detaliczna paliw płynnych (z wyłączeniem paliw samochodowych)</a>
<span>50.31</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5031%20sprzedaz%20hurtowa%20i%20detaliczna%20czesci%20i%20akcesoriow%20do%20pojazdow%20mechanicznych"">Sprzedaż hurtowa i detaliczna części i akcesoriów do pojazdów mechanicznych</a>
","
<span>4212</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4212%20lokalne%20przewozy%20ciezarowe%20bez%20skladowania"">Lokalne przewozy ciężarowe, bez składowania</a>
<span>4783</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4783%20pakowanie%20sztauowanie%20mocowanie%20ladunkow"">Pakowanie, sztauowanie, mocowanie ładunków</a>
<span>753899</span>Stacje naprawy samochodów, osobno nie wymienione
<span>5541</span>Stacje benzynowe
<span>5531</span>Części i wyposażenie samochodowe, handel detaliczny
","
transport ciężarowy
załadunek, rozładunek towarowy
naprawy pojazdów
sprzedaż detaliczna paliw i części samochodowych

"
"Poznańska Hodowla Roślin Sp. z o.o. - Oddział Wągrowiec","PHR Sp. z o.o. - Oddział Wągrowiec","Skocka 24",Wągrowiec,62-013,"kier. Tadeusz Budkowski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2681781,(67)2681781,prywatna,"spółka z o.o.","<a title=""@phr.pl"">wagrowkec</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.phr.pl"">www.phr.pl</a>",9,,1994,"
<span>01.11.6</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE01116%20produkcja%20nasion%20zboz%20roslin%20oleistych%20burakow%20cukrowych%20i%20roslin%20przeznaczonych%20na%20pasze%20w%20tym%20traw"">Produkcja nasion: zbóż, roślin oleistych, buraków cukrowych i roślin przeznaczonych na paszę, w tym traw</a>
<span>01.12.4</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE01124%20produkcja%20nasion%20kwiatowych%20owocowych%20lub%20warzywnych"">Produkcja nasion kwiatowych, owocowych lub warzywnych</a>
<span>51.21.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51212%20sprzedaz%20hurtowa%20nasion"">Sprzedaż hurtowa nasion</a>
","
<span>018103</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC018103%20produkcja%20cebulek%20i%20nasion"">Produkcja cebulek i nasion</a>
<span>5153</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5153%20ziarna%20zboz%20i%20roslin%20straczkowych%20hurt"">Ziarna zbóż i roślin strączkowych, hurt</a>
<span>519103</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC519103%20nasiona%20i%20sadzonki%20hurt"">Nasiona i sadzonki, hurt</a>
","


"
"Usługi Zegarmistrzowskie",,"Skocka 48",Wągrowiec,62-122,"Adrian Meller",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2672272,,prywatna,"zakład prywatny bez formy prawnej",,,2,,1993,"
<span>52.73</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5273%20naprawy%20zegarkow%20zegarow%20i%20bizuterii"">Naprawy zegarków, zegarów i biżuterii</a>
<span>52.48.41</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524841%20sprzedaz%20detaliczna%20zegarkow"">Sprzedaż detaliczna zegarków</a>
<span>52.48.42</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524842%20sprzedaz%20detaliczna%20wyrobow%20jubilerskich"">Sprzedaż detaliczna wyrobów jubilerskich</a>
","
<span>763101</span>Naprawa czasomierzy
<span>5944</span>Sklepy jubilerskie
","


"
"Wielkopolska Spółka Gazownictwa Sp. z o.o. - Zakład Gazowniczy w Poznaniu, Rozdzielnia Gazu, Biuro Obsługi Klienta w Wągrowcu","WSG Sp. z o.o. - ZG w Poznaniu, Rozdzielnia Gazu, BOK","Skocka 53",Wągrowiec,62-012,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2672270-71,,"Skarb Państwa","spółka z o.o.",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.wsgaz.pl"">www.wsgaz.pl</a>",,,2003,"
<span>40.22</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE4022%20dystrybucja%20wszelkiego%20rodzaju%20paliw%20gazowych%20przez%20siec%20zasilajaca"">Dystrybucja wszelkiego rodzaju paliw gazowych przez sieć zasilającą</a>
<span>45.33.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45332%20zakladanie%20instalacji%20i%20urzadzen%20gazowych"">Zakładanie instalacji i urządzeń gazowych</a>
","
<span>4924</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4924%20dystrybucja%20gazu%20ziemnego"">Dystrybucja gazu ziemnego</a>
<span>4923</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4923%20przesylanie%20i%20dystrybucja%20gazu%20ziemnego"">Przesyłanie i dystrybucja gazu ziemnego</a>
<span>4932</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4932%20zaklady%20energetyczne%20dostarczajace%20gaz%20i%20inne%20uslugi"">Zakłady energetyczne dostarczające gaz i inne usługi</a>
","
dostarczanie gazu
zakładanie instalacji gazowych

"
"UHM Negocjator - Siedziba Firmy",,"Skośna 3",Wągrowiec,62-123,"
Robert Król
Tomasz Czajkowski
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(888)455658 (505)054858",,prywatna,"zakład prywatny bez formy prawnej","
<a title=""@neiocjator.biz"">sklep</a>
<a title=""@neiocjator.biz"">robert</a>
<a title=""@negqcjator.biz"">tomek</a>
","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.negocjator.livenet.pl"">www.negocjator.livenet.pl</a>",,,,"
<span>52.48.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524811%20sprzedaz%20detaliczna%20artykulow%20i%20sprzetu%20biurowego"">Sprzedaż detaliczna artykułów i sprzętu biurowego</a>
<span>52.61</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5261%20sprzedaz%20detaliczna%20prowadzona%20przez%20domy%20sprzedazy%20wysylkowej"">Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej</a>
<span>72.5</span>Obsługa i naprawy maszyn biurowych i liczących oraz sprzętu komputerowego
","
<span>599906</span>Telefony i sprzęt łącznościowy, handel detaliczny
<span>5961</span>Sprzedaż wysyłkowa
<span>7629</span>Naprawy sprzętu elektrycznego i elektronicznego, osobno nie wymienione
","
akcesoria GSM, serwis
sklep intermetowy
"
"Transport Osobowy",,"Skośna 5",Wągrowiec,62-232,"
Andrzej Bagrowski
Jarosław Bagrowski
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2612714,,prywatna,"zakład prywatny bez formy prawnej",,,2,,1981,"<span>60.23.2</span>Wynajem autobusów, transport wycieczek oraz inne okolicznościowe przewozy autobusowe","<span>4142</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4142%20wynajem%20autobusow%20z%20wyj%20lokalnych"">Wynajem autobusów z wyj. lokalnych</a>",
"Projektowanie, Kosztorysowanie, Nadzór Budowlany",,"Skośna 28",Wągrowiec,62-013,"Maria Grzemska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2622020,,prywatna,"zakład prywatny bez formy prawnej",,,1,,,"
<span>74.21</span>Projektowanie urbanistyczne i budowlane, nadzór autorski i inwestorski, architektura krajobrazowa
<span>74.12.2</span>Sporządzanie sprawozdań finansowych
","
<span>8712</span>Usługi architektoniczne
<span>872199</span>Usługi księgowe, rachunkowość, rewidenci, osobno nie wymienieni
","


"
"Piekarnia Cukiernia S.C. W. Zborowski i K. Zborowski - Sklep",,Słowackiego,Wągrowiec,62-122,"
Wojciech Zborowski
Krystian Zborowski
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2645241,,prywatna,"spółka cywilna",,,,,1880,"
<span>52.24.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52243%20sprzedaz%20detaliczna%20wyrobow%20cukierniczych"">Sprzedaż detaliczna wyrobów cukierniczych</a>
<span>52.24</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5224%20sprzedaz%20detaliczna%20chleba%20ciast%20wyrobow%20macznych%20i%20cukierniczych"">Sprzedaż detaliczna chleba, ciast, wyrobów mącznych i cukierniczych</a>
","
<span>5441</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5441%20sklepy%20cukiernicze"">Sklepy cukiernicze</a>
<span>5461</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5461%20piekarnie%20detaliczne"">Piekarnie detaliczne</a>
","


"
"Przedsiębiorstwo Usługowo-Produkcyjno-Handlowe M&amp;M","PUPH M&amp;M","Straszewska 67c/34",Wągrowiec,62-512,"Marek Makswiej",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2677477,,prywatna,"zakład prywatny bez formy prawnej","<a title=""@polnet.cc"">makswiej</a>",,1,,1991,"
<span>50.33</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5033%20montaz%20alarmow%20i%20urzadzen%20przeciwwlamaniowych"">Montaż alarmów i urządzeń przeciwwłamaniowych</a>
<span>50.32</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5032%20montaz%20czesci%20i%20akcesoriow%20w%20pojazdach%20mechanicznych"">Montaż części i akcesoriów w pojazdach mechanicznych</a>
<span>52.45.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52452%20sprzedaz%20detaliczna%20sprzetu%20radiowo%20telewizyjnego"">Sprzedaż detaliczna sprzętu radiowo-telewizyjnego</a>
","
<span>754902</span>Indywidualne wyposażanie samochodów
<span>573199</span>Sklepy z domowym sprzętem elektronicznym, osobno nie wymienione
","


"
MIGLAND,,"Straszewska 45d/89",Wągrowiec,62-124,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(693)895795,,prywatna,"zakład prywatny bez formy prawnej","<a title=""@migland.pl"">sklep</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.migland.pl"">www.migland.pl</a>",,,,"
<span>52.48.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524811%20sprzedaz%20detaliczna%20artykulow%20i%20sprzetu%20biurowego"">Sprzedaż detaliczna artykułów i sprzętu biurowego</a>
<span>51.47.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51471%20sprzedaz%20hurtowa%20papieru%20i%20kartonu"">Sprzedaż hurtowa papieru i kartonu</a>
","
<span>511204</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC511204%20akcesoria%20do%20komputerow%20i%20kopiarek%20hurt"">Akcesoria do komputerów i kopiarek, hurt</a>
<span>5111</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5111%20papier%20drukarski%20i%20pismienny%20hurt"">Papier drukarski i piśmienny, hurt</a>
",
